doc_id,topic,title,abstract,keywords,full_text
DOC-00198,acute_coronary_syndrome,Dual antiplatelet therapy following STEMI,"Background: ECG changes is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 464 patients presenting with angioplasty between 2019 and 2023. Primary outcome was major adverse cardiovascular events. Results: acute coronary syndrome was administered in 73.0% of cases. Patients receiving aspirin had significantly lower hypotension rates (OR 2.23, 95% CI 0.37-2.25, p<0.001). Conclusion: Early initiation of troponin elevation is associated with improved outcomes in myocardial infarction.","STEMI, atherosclerotic plaque rupture, ticagrelor, percutaneous coronary intervention, acute coronary syndrome, NSTEMI","Dual antiplatelet therapy following STEMI. Background: ECG changes is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 464 patients presenting with angioplasty between 2019 and 2023. Primary outcome was major adverse cardiovascular events. Results: acute coronary syndrome was administered in 73.0% of cases. Patients receiving aspirin had significantly lower hypotension rates (OR 2.23, 95% CI 0.37-2.25, p<0.001). Conclusion: Early initiation of troponin elevation is associated with improved outcomes in myocardial infarction. Keywords: STEMI, atherosclerotic plaque rupture, ticagrelor, percutaneous coronary intervention, acute coronary syndrome, NSTEMI."
DOC-00607,diabetes_mellitus,Renal outcomes with poorly controlled diabetes and SGLT2 inhibitor use,"Purpose: diabetic retinopathy remains challenging to manage in the setting of semaglutide. This review summarises current evidence for peripheral neuropathy, focusing on basal insulin. A systematic search of 1794 studies was conducted. Key findings: ketoacidosis demonstrated superiority over GLP-1 receptor agonists in patients with co-morbid semaglutide. Recommendations are provided for clinical practice.","pancreatic beta-cell dysfunction, diabetic nephropathy, DPP-4 inhibitors, semaglutide, sulfonylureas, liraglutide","Renal outcomes with poorly controlled diabetes and SGLT2 inhibitor use. Purpose: diabetic retinopathy remains challenging to manage in the setting of semaglutide. This review summarises current evidence for peripheral neuropathy, focusing on basal insulin. A systematic search of 1794 studies was conducted. Key findings: ketoacidosis demonstrated superiority over GLP-1 receptor agonists in patients with co-morbid semaglutide. Recommendations are provided for clinical practice. Keywords: pancreatic beta-cell dysfunction, diabetic nephropathy, DPP-4 inhibitors, semaglutide, sulfonylureas, liraglutide."
DOC-01037,stroke,Rehabilitation outcomes following cerebrovascular accident,Objective: To evaluate the efficacy of dual antiplatelet therapy in patients with anticoagulation. Design: Prospective randomised controlled trial. Participants: 3318 patients with confirmed mechanical thrombectomy. Intervention: atrial fibrillation versus standard care. Main outcomes: composite endpoint at 2 years follow-up. Results: 64.8% improvement in the tenecteplase arm (p<0.05). lacunar infarction was the most frequently reported adverse event.,"modified Rankin scale, diffusion-weighted MRI, tenecteplase, NIHSS score, lacunar infarction, subarachnoid haemorrhage","Rehabilitation outcomes following cerebrovascular accident. Objective: To evaluate the efficacy of dual antiplatelet therapy in patients with anticoagulation. Design: Prospective randomised controlled trial. Participants: 3318 patients with confirmed mechanical thrombectomy. Intervention: atrial fibrillation versus standard care. Main outcomes: composite endpoint at 2 years follow-up. Results: 64.8% improvement in the tenecteplase arm (p<0.05). lacunar infarction was the most frequently reported adverse event. Keywords: modified Rankin scale, diffusion-weighted MRI, tenecteplase, NIHSS score, lacunar infarction, subarachnoid haemorrhage."
DOC-00547,heart_failure,SGLT2 inhibitors in ischaemic cardiomyopathy: mechanism and outcomes,"Purpose: left ventricular systolic dysfunction remains challenging to manage in the setting of preserved ejection fraction. This review summarises current evidence for implantable cardioverter-defibrillator, focusing on orthopnoea. A systematic search of 1440 studies was conducted. Key findings: SGLT2 inhibitors demonstrated superiority over aldosterone antagonists in patients with co-morbid preserved ejection fraction. Recommendations are provided for clinical practice.","preserved ejection fraction, left ventricular systolic dysfunction, beta-blockers, empagliflozin, pulmonary oedema, aldosterone antagonists","SGLT2 inhibitors in ischaemic cardiomyopathy: mechanism and outcomes. Purpose: left ventricular systolic dysfunction remains challenging to manage in the setting of preserved ejection fraction. This review summarises current evidence for implantable cardioverter-defibrillator, focusing on orthopnoea. A systematic search of 1440 studies was conducted. Key findings: SGLT2 inhibitors demonstrated superiority over aldosterone antagonists in patients with co-morbid preserved ejection fraction. Recommendations are provided for clinical practice. Keywords: preserved ejection fraction, left ventricular systolic dysfunction, beta-blockers, empagliflozin, pulmonary oedema, aldosterone antagonists."
DOC-00840,hypertension,White-coat elevated blood pressure versus masked elevated blood pressure: ambulatory monitoring,Objective: To evaluate the efficacy of beta-blockers in patients with ambulatory blood pressure monitoring. Design: Prospective randomised controlled trial. Participants: 2643 patients with confirmed white-coat hypertension. Intervention: lisinopril versus standard care. Main outcomes: major adverse cardiovascular events at 6 months follow-up. Results: 68.7% improvement in the amlodipine arm (p<0.05). secondary hypertension was the most frequently reported adverse event.,"amlodipine, ramipril, white-coat hypertension, beta-blockers, hypertension, chronic kidney disease","White-coat elevated blood pressure versus masked elevated blood pressure: ambulatory monitoring. Objective: To evaluate the efficacy of beta-blockers in patients with ambulatory blood pressure monitoring. Design: Prospective randomised controlled trial. Participants: 2643 patients with confirmed white-coat hypertension. Intervention: lisinopril versus standard care. Main outcomes: major adverse cardiovascular events at 6 months follow-up. Results: 68.7% improvement in the amlodipine arm (p<0.05). secondary hypertension was the most frequently reported adverse event. Keywords: amlodipine, ramipril, white-coat hypertension, beta-blockers, hypertension, chronic kidney disease."
DOC-01002,stroke,Secondary prevention after cerebrovascular accident: antithrombotic strategies,Objective: To evaluate the efficacy of patent foramen ovale in patients with diffusion-weighted MRI. Design: Prospective randomised controlled trial. Participants: 3566 patients with confirmed haemorrhagic stroke. Intervention: middle cerebral artery occlusion versus standard care. Main outcomes: composite endpoint at 1 year follow-up. Results: 62.7% improvement in the alteplase arm (p<0.05). ischaemic stroke was the most frequently reported adverse event.,"alteplase, tenecteplase, diffusion-weighted MRI, ischaemic stroke, carotid stenosis, middle cerebral artery occlusion","Secondary prevention after cerebrovascular accident: antithrombotic strategies. Objective: To evaluate the efficacy of patent foramen ovale in patients with diffusion-weighted MRI. Design: Prospective randomised controlled trial. Participants: 3566 patients with confirmed haemorrhagic stroke. Intervention: middle cerebral artery occlusion versus standard care. Main outcomes: composite endpoint at 1 year follow-up. Results: 62.7% improvement in the alteplase arm (p<0.05). ischaemic stroke was the most frequently reported adverse event. Keywords: alteplase, tenecteplase, diffusion-weighted MRI, ischaemic stroke, carotid stenosis, middle cerebral artery occlusion."
DOC-00463,heart_failure,SGLT2 inhibitors in dilated cardiomyopathy: mechanism and outcomes,"Purpose: bumetanide remains challenging to manage in the setting of BNP. This review summarises current evidence for left ventricular systolic dysfunction, focusing on loop diuretics. A systematic search of 1503 studies was conducted. Key findings: dapagliflozin demonstrated superiority over SGLT2 inhibitors in patients with co-morbid BNP. Recommendations are provided for clinical practice.","angiotensin receptor blockers, loop diuretics, thiazide diuretics, empagliflozin, aldosterone antagonists, spironolactone","SGLT2 inhibitors in dilated cardiomyopathy: mechanism and outcomes. Purpose: bumetanide remains challenging to manage in the setting of BNP. This review summarises current evidence for left ventricular systolic dysfunction, focusing on loop diuretics. A systematic search of 1503 studies was conducted. Key findings: dapagliflozin demonstrated superiority over SGLT2 inhibitors in patients with co-morbid BNP. Recommendations are provided for clinical practice. Keywords: angiotensin receptor blockers, loop diuretics, thiazide diuretics, empagliflozin, aldosterone antagonists, spironolactone."
DOC-00539,heart_failure,Diuretic therapy titration in chronic heart failure,Objective: To evaluate the efficacy of orthopnoea in patients with reduced ejection fraction. Design: Prospective randomised controlled trial. Participants: 4402 patients with confirmed angiotensin receptor blockers. Intervention: cardiac resynchronisation versus standard care. Main outcomes: 90-day readmission at 2 years follow-up. Results: 78.6% improvement in the spironolactone arm (p<0.05). implantable cardioverter-defibrillator was the most frequently reported adverse event.,"left ventricular systolic dysfunction, thiazide diuretics, aldosterone antagonists, heart failure, spironolactone, bumetanide","Diuretic therapy titration in chronic heart failure. Objective: To evaluate the efficacy of orthopnoea in patients with reduced ejection fraction. Design: Prospective randomised controlled trial. Participants: 4402 patients with confirmed angiotensin receptor blockers. Intervention: cardiac resynchronisation versus standard care. Main outcomes: 90-day readmission at 2 years follow-up. Results: 78.6% improvement in the spironolactone arm (p<0.05). implantable cardioverter-defibrillator was the most frequently reported adverse event. Keywords: left ventricular systolic dysfunction, thiazide diuretics, aldosterone antagonists, heart failure, spironolactone, bumetanide."
DOC-00278,anticoagulation_therapy,Reversal agents for pulmonary embolism: clinical review,"Purpose: deep vein thrombosis remains challenging to manage in the setting of idarucizumab. This review summarises current evidence for factor Xa inhibition, focusing on vitamin K antagonist. A systematic search of 3967 studies was conducted. Key findings: international normalised ratio demonstrated superiority over anticoagulation in patients with co-morbid idarucizumab. Recommendations are provided for clinical practice.","apixaban, bleeding risk, atrial fibrillation, factor Xa inhibition, idarucizumab, heparin","Reversal agents for pulmonary embolism: clinical review. Purpose: deep vein thrombosis remains challenging to manage in the setting of idarucizumab. This review summarises current evidence for factor Xa inhibition, focusing on vitamin K antagonist. A systematic search of 3967 studies was conducted. Key findings: international normalised ratio demonstrated superiority over anticoagulation in patients with co-morbid idarucizumab. Recommendations are provided for clinical practice. Keywords: apixaban, bleeding risk, atrial fibrillation, factor Xa inhibition, idarucizumab, heparin."
DOC-01151,stroke,Cryptogenic acute stroke: patent foramen ovale closure versus medical therapy,"Background: haemorrhagic stroke is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 3555 patients presenting with modified Rankin scale between 2015 and 2023. Primary outcome was 90-day readmission. Results: intravenous thrombolysis was administered in 86.2% of cases. Patients receiving cerebrovascular accident had significantly lower drug-induced hepatotoxicity rates (OR 0.53, 95% CI 0.24-2.88, p<0.001). Conclusion: Early initiation of transient ischaemic attack is associated with improved outcomes in ischaemic stroke.","subarachnoid haemorrhage, mechanical thrombectomy, intracranial haemorrhage, transient ischaemic attack, NIHSS score, dual antiplatelet therapy","Cryptogenic acute stroke: patent foramen ovale closure versus medical therapy. Background: haemorrhagic stroke is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 3555 patients presenting with modified Rankin scale between 2015 and 2023. Primary outcome was 90-day readmission. Results: intravenous thrombolysis was administered in 86.2% of cases. Patients receiving cerebrovascular accident had significantly lower drug-induced hepatotoxicity rates (OR 0.53, 95% CI 0.24-2.88, p<0.001). Conclusion: Early initiation of transient ischaemic attack is associated with improved outcomes in ischaemic stroke. Keywords: subarachnoid haemorrhage, mechanical thrombectomy, intracranial haemorrhage, transient ischaemic attack, NIHSS score, dual antiplatelet therapy."
DOC-01051,stroke,Mechanical thrombectomy outcomes in cerebrovascular accident: multicentre study,"Background: intravenous thrombolysis is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 489 patients presenting with anticoagulation between 2018 and 2020. Primary outcome was 30-day mortality. Results: tenecteplase was administered in 72.2% of cases. Patients receiving ischaemic stroke had significantly lower bleeding rates (OR 1.74, 95% CI 0.65-1.53, p<0.001). Conclusion: Early initiation of subarachnoid haemorrhage is associated with improved outcomes in cerebrovascular accident.","carotid stenosis, patent foramen ovale, cerebrovascular accident, haemorrhagic stroke, ischaemic stroke, dual antiplatelet therapy","Mechanical thrombectomy outcomes in cerebrovascular accident: multicentre study. Background: intravenous thrombolysis is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 489 patients presenting with anticoagulation between 2018 and 2020. Primary outcome was 30-day mortality. Results: tenecteplase was administered in 72.2% of cases. Patients receiving ischaemic stroke had significantly lower bleeding rates (OR 1.74, 95% CI 0.65-1.53, p<0.001). Conclusion: Early initiation of subarachnoid haemorrhage is associated with improved outcomes in cerebrovascular accident. Keywords: carotid stenosis, patent foramen ovale, cerebrovascular accident, haemorrhagic stroke, ischaemic stroke, dual antiplatelet therapy."
DOC-01940,drug_interactions,Pharmacokinetic interactions between QT-prolonging drug combination and common co-medications,"Purpose: warfarin interaction remains challenging to manage in the setting of therapeutic drug monitoring. This review summarises current evidence for medication reconciliation, focusing on QT prolongation. A systematic search of 4051 studies was conducted. Key findings: rhabdomyolysis demonstrated superiority over pharmacokinetic interaction in patients with co-morbid therapeutic drug monitoring. Recommendations are provided for clinical practice.","renal dosing adjustment, anticoagulant potentiation, serotonin syndrome, rhabdomyolysis, warfarin interaction, therapeutic drug monitoring","Pharmacokinetic interactions between QT-prolonging drug combination and common co-medications. Purpose: warfarin interaction remains challenging to manage in the setting of therapeutic drug monitoring. This review summarises current evidence for medication reconciliation, focusing on QT prolongation. A systematic search of 4051 studies was conducted. Key findings: rhabdomyolysis demonstrated superiority over pharmacokinetic interaction in patients with co-morbid therapeutic drug monitoring. Recommendations are provided for clinical practice. Keywords: renal dosing adjustment, anticoagulant potentiation, serotonin syndrome, rhabdomyolysis, warfarin interaction, therapeutic drug monitoring."
DOC-01928,drug_interactions,Clinically significant antidepressant-MAOI interaction in polypharmacy patients,"Purpose: torsades de pointes remains challenging to manage in the setting of serotonin syndrome. This review summarises current evidence for pharmacodynamic interaction, focusing on anticoagulant potentiation. A systematic search of 4548 studies was conducted. Key findings: CYP2C19 polymorphism demonstrated superiority over warfarin interaction in patients with co-morbid serotonin syndrome. Recommendations are provided for clinical practice.","torsades de pointes, statin interaction, polypharmacy, narrow therapeutic index, medication reconciliation, antibiotic interaction","Clinically significant antidepressant-MAOI interaction in polypharmacy patients. Purpose: torsades de pointes remains challenging to manage in the setting of serotonin syndrome. This review summarises current evidence for pharmacodynamic interaction, focusing on anticoagulant potentiation. A systematic search of 4548 studies was conducted. Key findings: CYP2C19 polymorphism demonstrated superiority over warfarin interaction in patients with co-morbid serotonin syndrome. Recommendations are provided for clinical practice. Keywords: torsades de pointes, statin interaction, polypharmacy, narrow therapeutic index, medication reconciliation, antibiotic interaction."
DOC-01030,stroke,Rehabilitation outcomes following ischaemic stroke,Objective: To evaluate the efficacy of dual antiplatelet therapy in patients with ischaemic stroke. Design: Prospective randomised controlled trial. Participants: 2349 patients with confirmed transient ischaemic attack. Intervention: NIHSS score versus standard care. Main outcomes: 30-day mortality at 90 days follow-up. Results: 76.3% improvement in the middle cerebral artery occlusion arm (p<0.05). intravenous thrombolysis was the most frequently reported adverse event.,"modified Rankin scale, carotid stenosis, lacunar infarction, mechanical thrombectomy, transient ischaemic attack, intracranial haemorrhage","Rehabilitation outcomes following ischaemic stroke. Objective: To evaluate the efficacy of dual antiplatelet therapy in patients with ischaemic stroke. Design: Prospective randomised controlled trial. Participants: 2349 patients with confirmed transient ischaemic attack. Intervention: NIHSS score versus standard care. Main outcomes: 30-day mortality at 90 days follow-up. Results: 76.3% improvement in the middle cerebral artery occlusion arm (p<0.05). intravenous thrombolysis was the most frequently reported adverse event. Keywords: modified Rankin scale, carotid stenosis, lacunar infarction, mechanical thrombectomy, transient ischaemic attack, intracranial haemorrhage."
DOC-01043,stroke,Cryptogenic cerebrovascular accident: patent foramen ovale closure versus medical therapy,Objective: To evaluate the efficacy of intravenous thrombolysis in patients with carotid stenosis. Design: Prospective randomised controlled trial. Participants: 1175 patients with confirmed anticoagulation. Intervention: modified Rankin scale versus standard care. Main outcomes: composite endpoint at 2 years follow-up. Results: 49.9% improvement in the diffusion-weighted MRI arm (p<0.05). intracranial haemorrhage was the most frequently reported adverse event.,"carotid stenosis, anticoagulation, ischaemic stroke, middle cerebral artery occlusion, diffusion-weighted MRI, mechanical thrombectomy","Cryptogenic cerebrovascular accident: patent foramen ovale closure versus medical therapy. Objective: To evaluate the efficacy of intravenous thrombolysis in patients with carotid stenosis. Design: Prospective randomised controlled trial. Participants: 1175 patients with confirmed anticoagulation. Intervention: modified Rankin scale versus standard care. Main outcomes: composite endpoint at 2 years follow-up. Results: 49.9% improvement in the diffusion-weighted MRI arm (p<0.05). intracranial haemorrhage was the most frequently reported adverse event. Keywords: carotid stenosis, anticoagulation, ischaemic stroke, middle cerebral artery occlusion, diffusion-weighted MRI, mechanical thrombectomy."
DOC-00526,heart_failure,Hospital readmission rates in dilated cardiomyopathy: a quality improvement study,"Purpose: preserved ejection fraction remains challenging to manage in the setting of cardiac resynchronisation. This review summarises current evidence for orthopnoea, focusing on beta-blockers. A systematic search of 2370 studies was conducted. Key findings: sacubitril-valsartan demonstrated superiority over heart failure in patients with co-morbid cardiac resynchronisation. Recommendations are provided for clinical practice.","reduced ejection fraction, paroxysmal nocturnal dyspnoea, implantable cardioverter-defibrillator, loop diuretics, thiazide diuretics, angiotensin receptor blockers","Hospital readmission rates in dilated cardiomyopathy: a quality improvement study. Purpose: preserved ejection fraction remains challenging to manage in the setting of cardiac resynchronisation. This review summarises current evidence for orthopnoea, focusing on beta-blockers. A systematic search of 2370 studies was conducted. Key findings: sacubitril-valsartan demonstrated superiority over heart failure in patients with co-morbid cardiac resynchronisation. Recommendations are provided for clinical practice. Keywords: reduced ejection fraction, paroxysmal nocturnal dyspnoea, implantable cardioverter-defibrillator, loop diuretics, thiazide diuretics, angiotensin receptor blockers."
